subject,session,utt_id,noun,adj,prenominal,adj_stem,noun_stem,x1,x2,x3,x4,x5,mean_typ,article,noun_conc,noun_freq,age
48,5,174698,hen,fat,TRUE,fat,hen,5,5,4,5,NA,4.75,a,4.9,53,30
48,6,176753,crayon,purple,TRUE,purpl,crayon,5,5,2,NA,NA,4,a,4.87,702,34
48,7,177460,duckling,yellow,TRUE,yellow,duckl,5,6,NA,NA,NA,5.5,a,4.93,45,38
48,7,177540,duckling,yellow,TRUE,yellow,duckl,5,6,NA,NA,NA,5.5,a,4.93,45,38
48,7,177541,duckling,yellow,TRUE,yellow,duckl,5,6,NA,NA,NA,5.5,a,4.93,45,38
48,7,177613,footprint,yellow,FALSE,yellow,footprint,2,1,1,3,NA,1.75,a,4.37,11,38
48,7,177613,duckling,yellow,FALSE,yellow,duckl,5,6,NA,NA,NA,5.5,a,4.93,45,38
48,7,177727,duckling,yellow,TRUE,yellow,duckl,5,6,NA,NA,NA,5.5,a,4.93,45,38
48,7,177881,oven,hot,FALSE,hot,oven,4,3,6,4,NA,4.25,an,4.97,126,38
48,7,177882,oven,hot,FALSE,hot,oven,4,3,6,4,NA,4.25,an,4.97,126,38
48,7,177906,oven,hot,FALSE,hot,oven,4,3,6,4,NA,4.25,an,4.97,126,38
48,7,178046,foot,red,TRUE,red,foot,2,1,3,2,NA,2,a,4.9,1572,38
48,7,178047,foot,red,TRUE,red,foot,2,1,3,2,NA,2,a,4.9,1572,38
